course_number,name,description
315-0,"Design, Technology, and Research","Hands-on experience in the research learning environment. Students lead research projects in social and crowd computing, cyber-learning, human-computer interaction, and artificial intelligence."
321-0,Programming Languages,"Introduction to key parts of programming languages: syntax, semantics, and pragmatics. Implementation of a series of interpreters that show how various aspects of programming languages behave."
322-0,Compiler Construction,"The compiler is the programmer's primary tool. Understanding the compiler is therefore critical for programmers, even if they never build one. Furthermore, many design techniques that emerged in the context of compilers are useful for a range of other application areas. This course introduces students to the essential elements of building a compiler: parsing, context-sensitive property checking, code linearization, register allocation, etc. To take this course, students are expected to already understand how programming languages behave, to a fairly detailed degree. The material in the course builds on that knowledge via a series of semantics preserving transformations that start with a fairly high-level programming language and culminate in machine code."
323-0,Code Analysis and Transformation,"Fast, highly sophisticated code analysis and code transformation tools are essential for modern software development. Before releasing its mobile apps, Facebook submits them to a tool called Infer that finds bugs by static analysis, i.e., without even having to run the code, and guides developers in fixing them. Google Chrome and Mozilla Firefox analyze and optimize JavaScript code to make browsers acceptably responsive. Performance-critical systems and application software would be impossible to build and evolve without compilers that derive highly optimized machine code from high-level source code that humans can understand. Understanding what modern code analysis and transformation techniques can and can't do is a prerequisite for research on both software engineering and computer architecture since hardware relies on software to realize its potential. In this class, you will learn the fundamentals of code analysis and transformation, and you will apply them by extending LLVM, a compiler framework now in production use by Apple, Adobe, Intel and other industrial and academic enterprises."
325-1,Artificial Intelligence Programming,"Introduction to LISP and programming knowledge-based systems and interfaces. Strong emphasis on writing maintainable, extensible systems. Topics include semantic net-works, frames, pattern matching, deductive inference rules, case-based reasoning, and discrimination trees. Project-driven. Substantial programming assignments."
329-0,HCI Studio,"Human-Computer Interaction (HCI) serves as the bridge between computing and humanity. In this class we will develop our critical thinking skills by learning effective structures for designing HCI systems. We will also soften into a deeper understanding of people’s problems by developing our capacities for humility, empathy, and curiosity. Learning occurs through instructional activities, team projects, and studio critique."
330-0,Human Computer Interaction,Introduction to human-computer interaction and design of systems that work for people and their organizations. Understanding the manner in which humans interact with and use computers for productive work.
331-0,Introduction to Computational Photography,"Fundamentals of digital imaging and modern camera architectures. Hands-on experience acquiring, characterizing, and manipulating data captured using a modern camera platform."
333-0,Interactive Information Visualization,"This course covers theory and techniques for information visualization: the use of interactive interfaces to visualize abstract data. The course targets students interested in using visualization in their work or in building better visualization tools and systems. Students will learn to design and implement effective visualizations, critique others' visualizations, conduct exploratory visual analysis, and navigate research on information visualization."
335-0,Introduction to the Theory of Computation,"Mathematical foundations of computation, including computability, relationships of time and space, and the P vs. NP problem."
336-0,Design & Analysis of Algorithms,"Analysis techniques: solving recurrence equations. Algorithm design techniques: divide and conquer, the greedy method, backtracking, branch-and-bound, and dynamic programming. Sorting and selection algorithms, order statistics, heaps, and priority queues."
337-0,Natural Language Processing: Classical Approaches,"Semantics-oriented introduction to natural language processing, broadly construed. Representation of meaning and knowledge inference in story understanding, script/frame theory, plans and plan recognition, counter-planning, and thematic structures."
338-0,Practicum in Intelligent Information Systems,"A practical excursion into building intelligent information systems. Students develop a working program in information access, management, capture, or retrieval. Project definition, data collection, technology selection, implementation, and project management."
339-0,Introduction to Database Systems,"Data models and database design. Modeling the real world: structures, constraints, and operations. The entity relationship to data modeling (including network hierarchical and object-oriented), emphasis on the relational model. Use of existing database systems for the implementation of information systems."
340-0,Introduction to Networking,"A top-down exploration of networking using the five-layer model and the TCP/IP stack, covering each layer in depth. Students build web clients, servers, and a TCP implementation and implement routing algorithms."
341-0,Social Networks Analysis,"Applying algorithms and microeconomics to derive a theory of the design of mechanisms that produce desired outcomes despite counteractive inputs by outside agents. Key application areas: auctions, markets, networking protocols."
343-0,Operating Systems,"Fundamental overview of operating systems, including: concurrency (processes, synchronization, semaphores, monitors, deadlock); memory management (segmentation, paging virtual memory policies); software system architectures (level structures, microkernals); file systems (directory structures, file organization, RAID); protection (access control, capabilities, encryption, signatures, authentication). Requires substantial programming projects."
344-0,Design of Computer Problem Solvers,"Principles and practice of organizing and building artificial intelligence reasoning systems. Pattern-directed rule systems, truth-maintenance systems, and constraint languages."
345-0,Distributed Systems,Basic principles behind distributed systems (collections of independent components that appear to users as a single coherent system) and main paradigms used to organize them.
347-0,Conversational AI,"Principles and practices of creating AI systems which interact with people through conversations.  This includes knowledge-rich natural language understanding, multimodal interactions (i.e. speech and sketching), principles of dialogue drawn from cognitive science, question-answering, and architectures for building conversational AI systems.   Involves substantial programming and project work. Class sessions include both lectures and studio instruction."
348-0,Introduction to Artificial Intelligence,"Core techniques and applications of AI. Representing, retrieving, and applying knowledge for problem solving. Hypothesis exploration. Theorem proving. Vision and neural networks."
349-0,Machine Learning,"Study of algorithms that improve through experience. Topics typically include Bayesian learning, decision trees, genetic algorithms, neural networks, Markov models, and reinforcement learning. Assignments include programming projects and written work."
350-0,Introduction to Computer Security,"Basic principles and practices of computer and information security. Software, operating system, and network security techniques, with detailed analysis of real-world examples. Topics include cryptography, authentication, software and operating system security (e.g., buffer overflow), Internet vulnerability (DoS attacks, viruses/worms, etc.), intrusion detection systems, firewalls, VPN, and web and wireless security."
351-1,Introduction to Computer Graphics,Mathematical software and hardware requirements for computer graphics systems. Data structures and programming languages. Random displays. Graphic applications.
351-2,Intermediate Computer Graphics,"Methods and theory of computer graphics. Project-oriented approach. Describing shapes, movement, and lighting effects; interactive elements."
352-0,Machine Perception of Music & Audio,"Machine extraction of musical structure in audio and MIDI and score files, covering areas such as source separation and perceptual mapping of audio to machine-quantifiable measures."
354-0,Computer System Security,"The past decade has seen an explosion in the concern for the security of information. This course introduces students to the basic principles and practices of computer system and networking security, with detailed analysis of real-world examples and hands-on practice. Topics include the basic crypto, authentication, reverse engineering, buffer overflow attacks, vulnerability scanning, web attacks, firewalls, intrusion detection/prevention systems, etc. We will first introduce the basic theory for each type of attack; then we will actually carry them out in 'real-world' settings. The goal is to learn security by learning how to view your machine from a hacker's perspective. In addition, we encourage students to participate in the UCSB International Capture the Flag Competition. Capture the Flag is a network security exercise where the goal is to exploit other machines while defending your own. In fact, this course should prepare you for any one of many capture the flag competitions that take place year-round.We will learn about different types of hacks and perform them. After learning how to execute such exploits and penetrate a network, we will discuss ways to protect a network from others exploiting the same vulnerabilities. Understanding security is essential in all fields of software development and computing.For major or minors in Computer Science, this course can satisfy the system breadth."
355-0,Digital Forensics and Incident Response,This course aims to teach students the concepts of Digital Forensics and Incident Response. The technical content taught in the class consists of deep knowledge of filesystems and operating systems so that students know which digital artifacts to investigate in data breach scenarios. Labs and assignments are a sanitized version of real-world intrusions by nation-state actors and cybercriminals.
367-0,Wireless and Mobile Health: Passive Sensing Data Analytics,"A hands-on introduction and experience to the growing field of mobile Health. Students work together on a project with clinicians and faculty in medicine, building a unique mHealth system while testing their system on a small population. Theory-driven project hypothesis, technology selection and development, passive sensing data analytic chain understanding and implementation, and project management."
370-0,Computer Game Design,"Plot, narrative, and character simulation for creating game worlds; artificial intelligence for synthetic characters; tuning gameplay. Substantial programming and project work."
371-0,Knowledge Representation and Reasoning,"Principles and practices of knowledge representation, including logics, ontologies, commonsense knowledge, and semantic web technologies."
372-0,Designing and Constructing Models with Multi-Agent Languages,"This course will begin with an introduction to the multi-agent language NetLogo. Students will design and implement several NetLogo models and analyze their behavioral regimes. Students will also learn to build models of interaction on social networks (or other types of networks).  We will cover methodology for verifying, validating and replicating agent-based models and comparisons with systems dynamics and equation-based models. NetLogo comes with many extensions that support a variety of additional features. Students can use these extensions to create specialized models, such as complex networks, real-time data extraction, data mining, connections to physical devices, etc.. Students will also have an opportunity to explore existing and create their own participatory simulations using the HubNet architecture as well as exploring connecting real world sensors and motors to models. Students can also explore multi-level agent-based modeling in which hundreds or thousands of models are connected with NetLogo’s LevelSpace extension."
376-0,Computer Game Design and Development,"Introduction to design of simulation-based media, with an emphasis on 2D game design.   Mathematical preliminaries: linear, affine, and projective spaces, linear transforms, inner and exterior products, unit quaternions; Architecture: update/render loop, component systems, serialization and deserialization, event handling and asynchronous processing, multitasking; Rendering: scene graphs, meshes, shaders, sprites; Networking; Audio; Physics: particles, rigid bodies, collision detection; Gameplay design."
377-0,Game Design Studio,"In this course, students will design and develop games using the Unity game engine, with focus on team-based projects and agile development practices. Lectures will cover game design theory, game architecture and implementation, and the business of game development. Students will participate in class discussion and evaluation of projects in progress, to develop their skills in iterative design and implementation."
393-0,Software Construction,"Building software is a craft that requires careful design. This course teaches software design principles in a studio setting. Each week, students present their programs to the class for review. Together, the class evaluates the programs for correctness and, more importantly, clarity and design. Expect to learn how to build reliable, maintainable, extensible software and how to read others' codes."
394-0,Agile Software Development,"Developing mobile and web applications, using modern sustainable agile practices, such as backlogs, user stories, velocity charts, and test driven development, to deliver value as quickly as possible to end users, clients, developers, and the development organization."
396-0,Special Topics in Computer Science,Projects suggested by faculty and approved by the department. Equivalent to 397 but intended to apply toward courses for the computer science major and its project requirement.
397-0,Special Projects in Computer Science,Topics suggested by faculty and approved by the department. Equivalent to 396 but intended to apply toward courses for the computer science major.
399-0,Projects,Seminar and projects for advanced undergraduates on subjects of current interest in electrical and computer engineering.
401-0,Introduction to Graduate Studies,"An introduction to graduate studies in Computer Science aimed at preparing incoming doctoral students to perform great research, regardless of area, and providing an overview of research areas in computer science at Northwestern through short presentations by faculty."
409-0,Swarms and Multi-Robot Systems,"This class surveys the state of the art research in robotic swarms, looking atboth algorithms for controlling them and current hardware implementations. Italso addresses the deficiencies keeping them from every-day use.Coursework includes reading research papers, student presentations anddiscussion of select papers, and projects implementing studied topics in areal or simulated robot swarm."
410-0,Autonomous Quadrotor Design and Control,"Centered around a project where teams create and program an autonomousquadrotor robot, this class focuses on advanced embedded control of anelectromechanical system. Topics include: programming interfaces betweenan embedded computer and external sensors/actuators, programming atiming-critical control loop for stable flight, and creating a software stack thatinteracts with low-level code to create a desired high-level behavior."
413-0,Tangible Interaction Design and Learning,"Explores the use of tangible interaction to create innovative learning experiences, including distributed cognition, embodied interaction, cultural forms, and design frameworks. Pre-req: COMP_SCI 110-0 or COMP_SCI 111-0"
430-0,Design of Interactive Learning Environments,"Design of computer-based ""learning-by-doing"" environments. Course focuses more on initial conception of learning environments than on technical issues involved in building these environments."
440-0,Advanced Networking,"This course will cover a broad range of topics including Internet evolution and architectures; analysis and design of network protocols (both wired and wireless); networking issues for Web and gaming applications; analysis and performance of content distribution networks; network security, vulnerability, and defenses."
441-0,Resource Virtualization,"The bulk of the time in this class examining a virtual machine monitor (VMM) in depth, at the source code level.The course explains the hardware/software interface of a modern x86 computer in detail. A VMM is an operating system that is implemented directly on top of the hardware interface, and itself presents a hardware interface to higher-level software. Students will also acquire valuable kernel development skills."
443-0,Advanced Operating Systems,Advanced concepts in operating systems and distributed computing from historical perspectives to current themes such as peer-to-peer computing and mobile systems.
445-0,Internet-scale Experimentation,Explores the challenges of large-scale networked system experimentation and measurement
446-0,Kernel and Other Low-level Software Development,"The development of low-level systems software such as drivers, kernels, etc is very different from the development of applications. This  class teaches  how such development is done: how to design, implement, debug, and optimize low-level software and use available tools."
447-0,Conversational AI,"Principles and practices of creating AI systems which interact with people through conversations.  This includes knowledge-rich natural language understanding, multimodal interactions (i.e. speech and sketching), principles of dialogue drawn from cognitive science, question-answering, and architectures for building conversational AI systems.   Involves substantial programming and project work. Class sessions include both lectures and studio instruction."
450-0,Internet Security,"Through measurement-based approaches, students analyze the complexity of the Internet, and develop countermeasures against various vulnerabilities of the Internet such as viruses, worms, and denial of service attacks."
455-0,Distributed Computing Systems,"Fundamentals and systems design aspects of distributed systems, paradigms for distributed computing, client-server computing, concurrency control, distributed file systems, resource management, high-performance computing aspects."
457-0,Advanced Algorithms,Analysis and design of algorithms; amortized analysis; arithmetic circuits; computational geometry; NP-completeness; approximation algorithms.
469-0,Machine Learning & Artificial Intelligence for Robotics,"A coverage of artificial intelligence, machine learning and statistical estimation topics that are especially relevant for robot operation and robotics research."
472-0,Designing and Constructing Models with Multi-Agent Languages,"This course will begin with an introduction to the multi-agent language NetLogo. Students will design and implement several NetLogo models and analyze their behavioral regimes. Students will also learn to build models of interaction on social networks (or other types of networks).  We will cover methodology for verifying, validating and replicating agent-based models and comparisons with systems dynamics and equation-based models. NetLogo comes with many extensions that support a variety of additional features. Students can use these extensions to create specialized models, such as complex networks, real-time data extraction, data mining, connections to physical devices, etc.. Students will also have an opportunity to explore existing and create their own participatory simulations using the HubNet architecture as well as exploring connecting real world sensors and motors to models. Students can also explore multi-level agent-based modeling in which hundreds or thousands of models are connected with NetLogo’s LevelSpace extension."
473-1,NUvention: Web - Part 1,NUvention: Web is an interdisciplinary experiential learning program designed to expose students to the entire product and business development life cycle for a software company.
473-2,NUvention: Web - Part 2,NUvention: Web is an interdisciplinary experiential learning program designed to expose students to the entire product and business development life cycle for a software company.
474-0,Probabilistic Graphical Models,"Probabilistic graphical models are a powerful technique for handling uncertainty in machine learning. The course will cover how probability distributions can be represented in graphical models, how inference and learning are performed in the models, and how the models are utilized for machine learning in practice."
496-0,Special Topics in Computer Science,Topics suggested by faculty and approved by the department.
497-0,Special Projects in Computer Science,Project-based course on topics suggested by faculty and approved by the department.
499-0,Projects,Special projects carried out under faculty direction. Permission of instructor and department required.
510-0,Seminar,Seminar on topics of current interest.
590-0,Research,Independent investigation of selected problems pertaining to thesis or dissertation. May be repeated for credit.
230-0,Programming for Engineers,
332-0,Online Markets,
368-0,Programming Massively Parallel Processors with CUDA,
415-0,"Design, Technology, and Research",
449-0,Deep Learning,
468-0,Programming Massively Parallel Processors with CUDA,
260-0,Introduction to Law and Digital Technologies,
460-0,Introduction to Law and Digital Technologies,
298-0,CS Research Track Program,
307-0,Introduction to Cryptography,
312-0,Data Privacy,
325-0,Artificial Intelligence Programming,
327-0,Generative Methods,
392-0,Rapid Prototyping for Software Innovation,
388-0,Software Engineering Beyond Programming,
262-0,Mathematical Foundations of Computer Science - Part 2,
296-0,Intermediate Topics in Computer Science,
324-0,Dynamics of Programming Languages,
326-0,Introduction to the Data Science Pipeline,
424-0,Dynamics of Programming Languages,
346-0,Microcontroller System Design,
308-0,Foundations of Security,
462-0,Foundations of Quantum Computing and Quantum Information,
353-0,Natural & Artificial Vision,
362-0,Foundations of Quantum Computing and Quantum Information,
436-0,Graduate Algorithms,
437-0,Approximation Algorithms,
374-0,Causal Graphical Models,
407-0,Advanced Topics in Modern Cryptography,
461-0,Deep Learning for Natural Language Processing,
302-0,Artifical Life,
398-0,Research Track Practicum,
303-0,Full Stack Software Engineering,
358-0,Introduction to Parallel Computing,
432-0,Mechanism Design,
433-0,Wireless Protocols for the Internet of Things,
320-0,Proving Properties of Programs with Mechanized Logic,
416-0,Mathematical Foundations of Machine Learning,
396-0-1,Computing and Sustainability,Special topics course: Computing and Sustainability
396-0-2,Data Management Seminar,Special topics course: Data Management Seminar
396-0-3,Programming Languages Seminar,Special topics course: Programming Languages Seminar
396-0-4,NUVention Media,Special topics course: NUVention Media
396-0-5,Human-AI Interaction Research,Special topics course: Human-AI Interaction Research
396-0-6,CS Education Research and in the Community,Special topics course: CS Education Research and in the Community
396-0-7,Responsible Software Engineering,Special topics course: Responsible Software Engineering
396-0-8,Reasoning anPlanning in the Foundation Model Era,Special topics course: Reasoning anPlanning in the Foundation Model Era
397-0-1,Computer Science Education,Special topics course: Computer Science Education
397-0-2,Innovation in Journalism & Technology,Special topics course: Innovation in Journalism & Technology
397-0-3,Wireless and Mobile Health (mHealth),Special topics course: Wireless and Mobile Health (mHealth)
496-0-1,Computing and Sustainability,Special topics course: Computing and Sustainability
496-0-2,Data Management Seminar,Special topics course: Data Management Seminar
496-0-3,Programming Languages Seminar,Special topics course: Programming Languages Seminar
496-0-4,NUVention Media,Special topics course: NUVention Media
496-0-5,Human-AI Interaction Research,Special topics course: Human-AI Interaction Research
496-0-6,CS Education Research and in the Community,Special topics course: CS Education Research and in the Community
496-0-9,The Design of Technological Tools for Thinking and,Special topics course: The Design of Technological Tools for Thinking and
496-0-10,Topics in Computational Imaging,Special topics course: Topics in Computational Imaging
496-0-11,Quantum Computer Systems,Special topics course: Quantum Computer Systems
496-0-12,Theory of Gradient-Based Optimization in ML,Special topics course: Theory of Gradient-Based Optimization in ML
496-0-13,Modern Discrete Probability,Special topics course: Modern Discrete Probability
497-0-2,Innovation in Journalism & Technology,Special topics course: Innovation in Journalism & Technology
497-0-3,Wireless and Mobile Health (mHealth),Special topics course: Wireless and Mobile Health (mHealth)
497-0-4,Prediction for Decision-Making,Special topics course: Prediction for Decision-Making
396-0-9,CS Education Research and in the Community,Special topics course: CS Education Research and in the Community
396-0-10,AI for Science and Business,Special topics course: AI for Science and Business
396-0-11,Pedagogical Design in CS,Special topics course: Pedagogical Design in CS
397-0-4,Software Studio,Special topics course: Software Studio
397-0-6,Advanced Multimodal Interfaces and Analytics Resea,Special topics course: Advanced Multimodal Interfaces and Analytics Resea
397-0-7,Selected Topics in Computer Networks,Special topics course: Selected Topics in Computer Networks
397-0-8,Innovation in Journalism & Technology,Special topics course: Innovation in Journalism & Technology
496-0-7,Mobile and Ubiquitous Computing,Special topics course: Mobile and Ubiquitous Computing
496-0-8,"AI for Hybrid, Participatory Narrative","Special topics course: AI for Hybrid, Participatory Narrative"
496-0-14,Computational Optics,Special topics course: Computational Optics
496-0-16,Emerging Risks for Humans Interacting with Technol,Special topics course: Emerging Risks for Humans Interacting with Technol
496-0-17,Qualitative Reasoning Seminar,Special topics course: Qualitative Reasoning Seminar
496-0-18,Advanced Topics on Deep Learning,Special topics course: Advanced Topics on Deep Learning
496-0-19,Quantum Computer Applications and Programming,Special topics course: Quantum Computer Applications and Programming
496-0-20,Advanced Topics in Approximation Algorithms,Special topics course: Advanced Topics in Approximation Algorithms
496-0-21,Agent AI,Special topics course: Agent AI
497-0-6,Advanced Multimodal Interfaces and Analytics Resea,Special topics course: Advanced Multimodal Interfaces and Analytics Resea
497-0-7,Selected Topics in Computer Networks,Special topics course: Selected Topics in Computer Networks
497-0-8,Innovation in Journalism & Technology,Special topics course: Innovation in Journalism & Technology
497-0-13,Advanced Database Systems,Special topics course: Advanced Database Systems
497-0-14,Recent Highlights in Theoretical Computer Science,Special topics course: Recent Highlights in Theoretical Computer Science
497-0-15,Digital Musical Instrument Design,Special topics course: Digital Musical Instrument Design
496-0-15,Academic Job Search,Special topics course: Academic Job Search
497-0-1,Innovation in Journalism & Technology,Special topics course: Innovation in Journalism & Technology
396-0-13,NUVention Media,Special topics course: NUVention Media
396-0-18,Misinformation and Disinformation in the Age of AI,Special topics course: Misinformation and Disinformation in the Age of AI
396-0-19,AI for Science,Special topics course: AI for Science
396-0-20,Computing and Sustainability,Special topics course: Computing and Sustainability
396-0-21,"Computing, Ethics, and Society","Special topics course: Computing, Ethics, and Society"
397-0-9,"Sports, Technology and Learning","Special topics course: Sports, Technology and Learning"
397-0-10,Advanced Topics in Compilers,Special topics course: Advanced Topics in Compilers
397-0-11,Selected Topics in Computer Networks,Special topics course: Selected Topics in Computer Networks
397-0-12,Wireless and Mobile Health (mHealth),Special topics course: Wireless and Mobile Health (mHealth)
496-0-22,Emerging Risks for Humans Interacting with Technol,Special topics course: Emerging Risks for Humans Interacting with Technol
497-0-9,"Sports, Technology and Learning","Special topics course: Sports, Technology and Learning"
497-0-10,Advanced Topics in Compilers,Special topics course: Advanced Topics in Compilers
497-0-11,Selected Topics in Computer Networks,Special topics course: Selected Topics in Computer Networks
497-0-12,Wireless and Mobile Health (mHealth),Special topics course: Wireless and Mobile Health (mHealth)
